n_fire_pixels,mean_temp_fire,max_temp_fire,mean_power_fire,sum_power_fire,mean_area_fire,sum_area_fire,time_coverage_start,time_coverage_end,mean_confidence,max_confidence
61.0,586.0684,933.0866,151.13553,6649.963,27937.13,847064.6,2025-01-01T21:10:20.652380928,2025-01-01T21:19:51.455127040,0.69,1.0
70.0,670.6053,1019.2555,139.80928,6850.6553,24568.305,931653.94,2025-01-01T21:20:20.652326912,2025-01-01T21:29:51.456121984,0.65,1.0
57.0,647.1708,1364.4077,149.16994,6563.477,30837.195,1.1545969e+06,2025-01-01T21:30:20.654076032,2025-01-01T21:39:51.461622016,0.57,1.0
63.0,639.153,1176.2831,148.7065,5968.669,25277.287,797402.1,2025-01-01T21:40:20.654023040,2025-01-01T21:49:51.464856064,0.61,1.0
60.0,615.15216,1041.1825,192.82191,4434.904,42286.91,681788.4,2025-01-01T21:50:20.653974016,2025-01-01T21:59:51.454583040,0.72,1.0
85.0,646.489,1325.1575,204.31064,4699.145,19771.5,347105.47,2025-01-01T22:00:20.655732992,2025-01-01T22:09:51.464420992,0.72,1.0
104.0,604.749,1241.5698,183.2917,5132.1675,29959.63,548436.75,2025-01-01T22:10:20.655694976,2025-01-01T22:19:51.458404992,0.75,1.0
36.0,667.10223,960.0501,91.59122,2289.7803,13768.552,160898.66,2025-01-01T22:20:20.655662976,2025-01-01T22:29:51.459185024,0.64,1.0
284.0,529.2029,726.7279,98.162506,1865.0876,32469.97,422026.62,2025-01-01T22:30:20.657441920,2025-01-01T22:39:51.464889088,0.69,1.0
322.0,842.3519,2199.7236,340.80176,5452.828,24765.646,276211.8,2025-01-01T22:40:20.657426944,2025-01-01T22:49:51.463098112,0.72,1.0
692.0,633.8821,998.9621,277.08307,4987.4956,73421.64,956455.4,2025-01-01T22:50:20.657421056,2025-01-01T22:59:51.458619008,0.74,1.0
595.0,670.36365,1056.1743,340.1674,5102.5107,48576.723,534340.2,2025-01-01T23:00:20.659206016,2025-01-01T23:09:51.463551104,0.85,1.0
512.0,706.30066,1365.8364,335.87283,4366.347,74145.195,744623.9,2025-01-01T23:10:20.659152000,2025-01-01T23:19:51.458296960,0.93,1.0
819.0,670.0444,1028.5615,226.59282,4531.856,52530.63,792735.7,2025-01-01T23:20:20.660907008,2025-01-01T23:29:51.462018048,0.87,1.0
1261.0,560.8258,746.22284,79.052345,1027.6804,28871.068,202036.92,2025-01-01T23:30:20.660873088,2025-01-01T23:39:51.463294080,0.89,1.0
